,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
11,-73.9563311167069,40.7950901563337,38E-AM-1010-12,38E,AM,10102018,12,Adult,Cinnamon,NA,Cinnamon+,NA,Ground Plane,FALSE,running on rocks,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,runs toward something,POINT (-73.9563311167069 40.7950901563337),NA,19,4,19,13
12,-73.9563661256875,40.7966823114508,39D-AM-1008-03,39D,AM,10082018,3,Adult,Gray,NA,Gray+,NA,Above Ground,5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9563661256875 40.7966823114508),NA,19,4,19,13
13,-73.9538251716292,40.7919360198175,35I-PM-1006-01,35I,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9538251716292 40.7919360198175),NA,19,4,19,13
14,-73.9594391759139,40.784115697669,26I-PM-1010-03,26I,PM,10102018,3,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",black in tail,Above Ground,15,tree,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9594391759139 40.784115697669),NA,19,4,19,13
15,-73.9671419119456,40.7758602486862,14G-AM-1012-01,14G,AM,10122018,1,Adult,Cinnamon,Black,Cinnamon+Black,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,POINT (-73.9671419119456 40.7758602486862),NA,19,4,19,13
16,-73.9719111470164,40.7758789855474,12D-AM-1013-02,12D,AM,10132018,2,Adult,Gray,NA,Gray+,NA,Above Ground,7,Was on top of the edge of Bow Bridge,FALSE,FALSE,FALSE,FALSE,FALSE,jumped off,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9719111470164 40.7758789855474),NA,19,4,19,13
17,-50,40.7943801121036,37G-PM-1007-01,37G,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9545214613307 40.7943801121036),NA,19,4,19,13
18,-73.9547959269955,40.7925162926273,36H-PM-1008-01,36H,PM,10082018,1,Adult,Gray,White,Gray+White,white belly,Above Ground,20,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9547959269955 40.7925162926273),NA,19,4,19,13
19,-73.9542990150586,40.7940915300678,37G-PM-1007-09,37G,PM,10072018,9,Adult,Cinnamon,White,Cinnamon+White,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9542990150586 40.7940915300678),NA,19,4,19,13
20,-73.9552035011902,40.7889851896334,32I-AM-1013-06,32I,AM,10132018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,NA,Above Ground,3,In and below shrub,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9552035011902 40.7889851896334),NA,19,4,19,13
